label,message
not spam,Hi how are you?
spam,Congratulations you won a free prize call now
not spam,Are you coming to school today?
spam,Free entry in contest text WIN now
not spam,Please call me when you are free
spam,Your account is blocked verify immediately
not spam,Let us meet after class
not spam,Did you complete the assignment?
spam,Limited time offer buy now
not spam,Good morning have a nice day
spam,Win a brand new phone click the link
not spam,Can you send me the notes?
not spam,See you tomorrow
spam,Claim your reward now
not spam,Thank you for your help
spam,Exclusive deal only for you
not spam,What time is the meeting?
spam,You are the lucky winner
not spam,Happy birthday dear
not spam,Don’t forget to bring your ID card
spam,Get cash prize instantly
not spam,Are we having class today?
spam,Free recharge available claim today
not spam,I will reach in 10 minutes
not spam,Let’s study together
spam,You have been selected for a gift
not spam,Please remind me later
spam,Act fast offer expires soon
not spam,Did you understand the lesson?
not spam,How was the exam?
spam,Click here to win big
not spam,Call me after lunch
spam,Free vacation package waiting
not spam,All the best for your presentation
not spam,Can you help me with homework?
spam,Lowest price guaranteed buy now
not spam,Meeting postponed to tomorrow
spam,You won cash prize reply YES
not spam,Please submit the form today
not spam,Let us go for lunch
spam,Special discount just for you
not spam,Where are you now?
spam,Earn money from home easily
not spam,Have you reached home?
not spam,Good night sleep well
spam,Your loan is approved instantly
not spam,Take care
spam,Get free coupons now
not spam,See you in the evening
not spam,Thanks for the information
spam,Limited stock hurry up
not spam,Can you share the timetable?
spam,Win exciting prizes today
not spam,Teacher is absent today
spam,Free mobile recharge click link
not spam,Don’t be late for class
spam,Claim your bonus now
not spam,Bring your notebook tomorrow
not spam,Let’s prepare for the test
spam,Urgent respond to get reward
not spam,Are you feeling better today?
spam,Get rich quick scheme
not spam,Please attend the meeting
spam,No cost EMI offer available
not spam,What is today’s homework?
spam,Exclusive sale ends today
not spam,Join the class on time
spam,You have received a gift card
not spam,Let’s revise the syllabus
spam,Free access limited time
not spam,Call me once you reach
spam,Instant cash offer apply now
not spam,Did you watch the class recording?
spam,Winner announcement claim prize
not spam,Please check your email
spam,Special promotion for you
not spam,Meeting starts at 10 AM
spam,Click to unlock benefits
not spam,All the best for exams
spam,Your number has won today
not spam,Don’t forget your lunch box
spam,Free trial available now
not spam,See you at the library
spam,Offer valid only today
not spam,How was your day?
spam,Big savings waiting for you
not spam,Please message me later
spam,Confirm now to receive prize
not spam,Take rest today
spam,Free membership sign up
not spam,Can we talk now?
spam,Hot deal don’t miss out
not spam,Share your project file
spam,Get bonus instantly
not spam,Are you free now?
spam,Final reminder claim reward
not spam,Let’s discuss tomorrow
spam,Click link to verify details
not spam,Please update me
spam,You are selected congratulations
not spam,Hope you are doing well
spam,Win big rewards now
not spam,Call me later
spam,Free gift waiting for you
not spam,See you tomorrow morning
spam,Last chance to win
